Response ID,What year were you born?,Gender,job industry, job industry (Detailed),occupation,Occupation (Detailed),Number of employers,Manager,Household,Job tenure,Metro / Regional,"Thinking about your current job, how much of your time did you spend remote working last year?",My organisation encouraged people to work remotely,My organisation was well prepared for me to work remotely,It was common for people in my organisation to work remotely,It was easy to get permission to work remotely,I could easily collaborate with colleagues when working remotely,I would recommend remote working to others,Time prefered to work remotely,"In last 3 months, time spent on remote working","In last 3 months,  My organisation encouraged people to work remotely","In last 3 months,  My organisation was well prepared for me to work remotely","In last 3 months, It was common for people in my organisation to work remotely","In last 3 months, It was easy to get permission to work remotely","in last 3 months, collaboration with colleagues when working remotely","In last 3 months, I would recommend remote working to others","In the last 3 months, preferred time to work remotely ",Time prefer to work remotely after COVID is cured,Encourage more remote working after COVID is cured,Make changes to support remote working after COVID is cured,Prefer to work remotely after COVID is cured,Productivity,Time for preparing  and commuting on employer's workplace,Working hours on employer's workplace,Time for personal and family while on employer's workplace,Time for Caring and domestic responsibilities while on employer's workplace,Time for preparing for work and commuting while on remote work,how many hours do you work remotely,Time for personal and family while on remote work,Time for Caring and domestic responsibilities while on remote work,The most significant barrier to doing your work remotely,Compare remote working to working at your employer痴 workplace
1407,1994,Male,Construction,Building Construction,Managers,Farmers and Farm Managers,More than 200,NA,Couple with dependent children,Between 6 and 12 months,Metro,30%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,40%,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,40%,NA,Somewhat agree,Strongly agree,Somewhat agree,I知 50% more productive when working remotely (or more),1,6,10,7,4,6,8,6,Poor management,Preparing for work and commuting
1408,2001,Male,Manufacturing,Machinery and Equipment Manufacturing,Machinery operators and drivers,Machine and Stationary Plant Operators,Between 20 and 199,NA,Single person,Between 6 and 12 months,Metro,Less than 10% of my time,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,10%,NA,Somewhat agree,Neither agree nor disagree,Strongly agree,I知 20% more productive when working remotely,0.5,6,2,1,0.5,6,4,1,Connectivity (internet connection),The number of hours  I work
1409,1958,Male,Information Media and Telecommunications,Broadcasting (except Internet),Professionals,Arts and Media Professionals,More than 200,NA,Couple with no dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,50% - About half of my time,50% - I spent about half of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,50% - About half of my time,NA,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,2,8,6,8,1,8,4,6,Connectivity (internet connection),My work-life balance
1410,1981,Male,Financial and Insurance Services,Finance,Managers,Specialist Managers,More than 200,NA,Couple with dependent children,More than 5 years,Metro,20%,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,10%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,100% - All of my time,NA,Somewhat agree,Somewhat agree,Somewhat agree,I知 10% less productive when working remotely,3,8,2,2,0,9,4,3,Caring responsibilities,My work-life balance
1411,1978,Male,Financial and Insurance Services,Finance,Managers,Specialist Managers,More than 200,NA,Couple with dependent children,More than 5 years,Metro,40%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,100% - I spent all of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,NA,Somewhat agree,Neither agree nor disagree,Somewhat agree,My productivity is about same when I work remotely,2,8,3,3,0.5,10,2,3.5,Difficulty collaborating remotely,My work-life balance
1412,1985,Female,Health Care and Social Assistance,Social Assistance Services,Professionals,"Legal, Social and Welfare Professionals",More than 200,NA,Couple with dependent children,More than 5 years,Metro,Less than 10% of my time,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,20%,80%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,90%,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I知 40% more productive when working remotely,2.5,7,2,3,0.5,7.5,4,3,Connectivity (internet connection),Managing my family responsibilities
1413,1975,Male,Retail Trade,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,Managers,"Chief Executives, General Managers and Legislators",Between 1 and 4,NA,Couple with dependent children,More than 5 years,Metro,20%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,40%,100% - I spent all of my time remote working,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,100% - All of my time,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,1,1,1,1,1,5,4,1,Connectivity (internet connection),My work-life balance
1414,1961,Male,Public Administration and Safety,Defence,Professionals,Health Professionals,More than 200,NA,Single person,More than 5 years,Metro,20%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,50% - About half of my time,20%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,NA,Strongly agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,3,8,5,1,1,8,5,1,"IT equipment (computer, printer, etc.)",My work-life balance
1415,1985,Male,Manufacturing,Machinery and Equipment Manufacturing,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,NA,One  parent family with dependent children,More than 5 years,Metro,10%,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Less than 10% of my time,20%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,30%,NA,Somewhat agree,Neither agree nor disagree,Somewhat agree,My productivity is about same when I work remotely,1,8,8,7,0.5,10,6,7.5,Poor management,My on-the-job learning opportunities
1416,1966,Male,Public Administration and Safety,Public Administration,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,NA,Couple with dependent children,More than 5 years,Metro,Less than 10% of my time,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Less than 10% of my time,100% - I spent all of my time remote working,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,100% - All of my time,NA,Strongly agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,3,8,10,3,0,9,12,3,Difficulty collaborating remotely,Managing my family responsibilities
1417,2000,Male,Manufacturing,Food Product Manufacturing,Sales ,Sales Support ,Between 20 and 199,NA,Couple with no dependent children,Between 6 and 12 months,Metro,50% - I spent about half of my time remote working,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,80%,50% - I spent about half of my time remote working,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,80%,NA,Somewhat agree,Somewhat agree,Somewhat agree,I知 10% less productive when working remotely,1,6,8,2,0.5,6,8,2,Difficulty collaborating remotely,My work-life balance
1418,1973,Male,Public Administration and Safety,"Public Order, Safety and Regulatory Services",Professionals,"Design, Engineering, Science and Transport Professionals",Between 20 and 199,NA,Couple with dependent children,More than 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,10%,100% - I spent all of my time remote working,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,100% - All of my time,NA,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,I知 10% more productive when working remotely,2,8,1,2,1,8,3,2,Connectivity (internet connection),My work-life balance
1419,1974,Rather not say,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,Between 1 and 4,NA,One  parent family with dependent children,More than 5 years,Metro,Less than 10% of my time,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,30%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,100% - All of my time,NA,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,2,8,1,0,0,8,1,0,"IT equipment (computer, printer, etc.)",Preparing for work and commuting
1420,1979,Female,Education and Training,Preschool and School Education,Professionals,Education Professionals,Between 20 and 199,NA,Single person,More than 5 years,Metro,40%,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,100% - All of my time,50% - I spent about half of my time remote working,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,100% - All of my time,NA,Strongly disagree,Strongly disagree,Strongly disagree,I知 50% more productive when working remotely (or more),2,6,0,0,6,6,0,0,Connectivity (internet connection),Preparing for work and commuting
1421,1983,Male,"Transport, Postal and Warehousing",Rail Transport,Managers,Specialist Managers,More than 200,NA,Couple with dependent children,More than 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,100% - All of my time,100% - I spent all of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,100% - All of my time,NA,Somewhat agree,Somewhat agree,Somewhat agree,I知 20% less productive when working remotely,1,8,9,6,0,8,9,7,Poor management,The number of hours  I work
1422,1977,Female,Health Care and Social Assistance,Residential Care Services,Professionals,"Legal, Social and Welfare Professionals",More than 200,NA,Single person,Between 6 and 12 months,Metro,Less than 10% of my time,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,30%,100% - I spent all of my time remote working,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,50% - About half of my time,NA,Strongly agree,Somewhat agree,Somewhat agree,I知 10% less productive when working remotely,1,8,4,1,0.5,9,5,2,Difficulty collaborating remotely,My work-life balance
1423,1965,Male,Construction,Building Construction,Managers,Specialist Managers,Between 5 and 19,NA,Couple with dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,40%,50% - I spent about half of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,40%,NA,Strongly agree,Neither agree nor disagree,Strongly agree,I知 20% less productive when working remotely,2,4,1,1,0,6,1,1,Caring responsibilities,Managing my family responsibilities
1424,1979,Male,"Rental, Hiring and Real Estate Services",Rental and Hiring Services (except Real Estate),Technicians and trades ,"Engineering, ICT and Science Technicians",More than 200,NA,Couple with dependent children,More than 5 years,Regional,10%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,10%,20%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,20%,NA,Somewhat agree,Somewhat agree,Somewhat agree,I知 30% more productive when working remotely,2,8,10,4,0.5,8,11.5,4,Difficulty collaborating remotely,The number of hours  I work
1425,1981,Male,Construction,Building Construction,Managers,Specialist Managers,Between 5 and 19,NA,Couple with dependent children,Between 1 and 5 years,Metro,60%,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,70%,80%,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,80%,NA,Neither agree nor disagree,Somewhat agree,Somewhat agree,I知 20% more productive when working remotely,1,8,3,2,0,8,5,3,"IT equipment (computer, printer, etc.)",The number of hours  I work
1426,1964,Female,Wholesale Trade,Other Goods Wholesaling,Clerical and administrative ,Clerical and Office Support ,More than 200,NA,Couple with dependent children,More than 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,50% - About half of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,50% - About half of my time,NA,Strongly agree,Neither agree nor disagree,Somewhat agree,My productivity is about same when I work remotely,0,8,3,1.5,0,8,3,1,Feeling left out and/or isolated,My work-life balance
1427,1974,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Clerical and administrative ,General Clerical ,Between 5 and 19,NA,Couple with no dependent children,More than 5 years,Metro,20%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,80%,90%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,NA,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I知 50% more productive when working remotely (or more),2,7,2,6,0,8,8,6,Connectivity (internet connection),My work-life balance
1428,1963,Female,Education and Training,Preschool and School Education,Clerical and administrative ,Clerical and Office Support ,Between 20 and 199,NA,Couple with no dependent children,More than 5 years,Metro,30%,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,20%,Rarely or never ,NA,NA,NA,NA,NA,NA,20%,NA,Somewhat disagree,Somewhat disagree,Somewhat disagree,My productivity is about same when I work remotely,0.75,7,10,6.25,0,7,10,7,"IT equipment (computer, printer, etc.)",Managing my family responsibilities
1429,1983,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Technicians and trades ,"Engineering, ICT and Science Technicians",Between 20 and 199,NA,Couple with dependent children,Between 1 and 5 years,Metro,30%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,60%,80%,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,90%,NA,Somewhat agree,Somewhat agree,Somewhat agree,I知 20% more productive when working remotely,2,8,4,6,0,8,8,6,Caring responsibilities,Managing my family responsibilities
